Time_D,Time_E,Time_M,Type_ARSON,Type_ASSAULT,Type_AUTO THEFT,Type_BURGLARY,Type_HOMICIDE,Type_LARCENY,Type_RAPE,Type_ROBBERY,Type_SHOOTING,Location_Central,Location_East,Location_North,Location_SouthS,Location_West,Street,Ins_Out,Weapon
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
